Scan,16NAVY08_2_plasma.mzML,16NAVY06_1_plasma.mzML,16NAVY08_5_plasma.mzML,394_Plasma.mzML,16NAVY08_9_plasma.mzML,16NAVY12_2_plasma.mzML,16NAVY14_9_plasma.mzML,16NAVY14_18_plasma.mzML,16NAVY06_2_plasma.mzML,326_Plasma.mzML,16NAVY14_1_plasma.mzML,16NAVY14_3_plasma.mzML,18NAVY28_7_plasma.mzML,16NAVY11_6_plasma.mzML,18NAVY28_1_plasma.mzML,16NAVY10_20_plasma.mzML,15NAVY01_1_plasma.mzML,513_Plasma.mzML,16NAVY14_2_plasma.mzML,16NAVY10_14_plasma.mzML,16NAVY06_7_plasma.mzML,16NAVY12_1_plasma.mzML,18NAVY28_10_plasma.mzML,16NAVY12_10_plasma.mzML,16NAVY06_12_plasma.mzML,494_Plasma.mzML,16NAVY11_5_plasma.mzML,16NAVY14_14_plasma.mzML,16NAVY10_15_plasma.mzML,16NAVY14_15_plasma.mzML,366_Plasma.mzML,358_Plasma_20191118040504.mzML,16NAVY10_10_plasma.mzML,16NAVY06_13_plasma.mzML,16NAVY14_8_plasma.mzML,16NAVY10_13_plasma.mzML,16NAVY14_17_plasma.mzML,16NAVY06_16_plasma.mzML,432_Plasma.mzML,487_Plasma.mzML,16NAVY10_1_plasma.mzML,16NAVY11_10_plasma.mzML,17NAVY22_17_plasma.mzML,15NAVY01_2_plasma.mzML,17NAVY22_4_plasma.mzML,16NAVY06_15_plasma.mzML,16NAVY11_8_plasma.mzML,16NAVY10_17_plasma.mzML,16NAVY10_12_plasma.mzML,17NAVY22_15_plasma.mzML,16NAVY06_14_plasma.mzML,16NAVY11_7_plasma.mzML,16NAVY10_9_plasma.mzML,16NAVY06_8_plasma.mzML,16NAVY11_4_plasma.mzML,16NAVY08_10_plasma.mzML,16NAVY10_6_plasma.mzML,16NAVY08_6_plasma.mzML,16NAVY04_14_plasma.mzML,18NAVY28_4_plasma.mzML,17NAVY22_10_plasma.mzML,18NAVY28_15_plasma.mzML,16NAVY12_4_plasma.mzML,18NAVY28_11_plasma.mzML,17NAVY22_2_plasma.mzML,16NAVY14_13_plasma.mzML,17NAVY22_16_plasma.mzML,428_Plasma.mzML,15NAVY01_10_plasma.mzML,16NAVY10_3_plasma.mzML,17NAVY22_1_plasma.mzML,17NAVY22_8_plasma.mzML,364_Plasma_20191118044522.mzML,412_Plasma.mzML,16NAVY08_20_plasma.mzML,16NAVY10_8_plasma.mzML,15NAVY01_6_plasma.mzML,16NAVY06_17_plasma.mzML,16NAVY08_8_plasma.mzML,16NAVY14_20_plasma.mzML,16NAVY08_3_plasma.mzML,18NAVY28_3_plasma.mzML,16NAVY06_19_plasma.mzML,17NAVY22_14_plasma.mzML,346_Plasma_20191118022730.mzML,16NAVY06_10_plasma.mzML,16NAVY10_4_plasma.mzML,16NAVY06_11_plasma.mzML,16NAVY11_20_plasma.mzML,15NAVY01_9_plasma.mzML,16NAVY14_12_plasma.mzML,400_Plasma.mzML,16NAVY14_7_plasma.mzML,16NAVY11_17_plasma.mzML,15NAVY01_8_plasma.mzML,16NAVY06_5_plasma.mzML,18NAVY28_17_plasma.mzML,17NAVY22_5_plasma.mzML,16NAVY08_4_plasma.mzML,18NAVY28_14_plasma.mzML,16NAVY11_14_plasma.mzML,16NAVY11_13_plasma.mzML,16NAVY11_3_plasma.mzML,18NAVY28_5_plasma.mzML,17NAVY22_6_plasma.mzML,16NAVY11_11_plasma.mzML,338_Plasma.mzML,16NAVY10_5_plasma.mzML,372_Plasma.mzML,16NAVY14_4_plasma.mzML,18NAVY28_12_plasma.mzML,16NAVY14_6_plasma.mzML,16NAVY14_10_plasma.mzML,470_Plasma.mzML,382_Plasma_20191118052912.mzML,16NAVY10_7_plasma.mzML,16NAVY08_11_plasma.mzML,16NAVY06_18_plasma.mzML,500_Plasma.mzML,16NAVY10_2_plasma.mzML,354_Plasma_20191118032114.mzML,16NAVY14_5_plasma.mzML,15NAVY01_4_plasma.mzML,18NAVY28_18_plasma.mzML,18NAVY28_20_plasma.mzML,17NAVY22_9_plasma.mzML,16NAVY11_12_plasma.mzML,15NAVY01_3_plasma.mzML,16NAVY10_18_plasma.mzML,16NAVY06_20_plasma.mzML,16NAVY06_4_plasma.mzML,16NAVY06_9_plasma.mzML,18NAVY28_16_plasma.mzML,18NAVY28_2_plasma.mzML,16NAVY10_11_plasma.mzML,16NAVY11_2_plasma.mzML,17NAVY22_11_plasma.mzML,16NAVY08_7_plasma.mzML,16NAVY14_11_plasma.mzML,16NAVY11_9_plasma.mzML,16NAVY11_1_plasma.mzML,16NAVY12_3_plasma.mzML,17NAVY22_7_plasma.mzML,16NAVY06_6_plasma.mzML
66351,0,0,0,0,0,0,0,0,156693,0,146135,171951,0,0,0,0,145162,0,0,0,0,0,0,0,149334,0,0,0,0,149797,0,0,123753,0,0,0,219894,0,0,0,0,0,0,154072,0,0,135959,0,0,0,123540,0,0,194744,0,0,0,0,0,0,223077,0,0,0,198551,0,0,0,231552,0,0,0,0,0,0,0,0,178068,0,0,166408,0,0,0,0,0,0,0,0,253329,0,0,0,0,319003,164292,0,0,0,0,0,0,0,0,0,0,0,0,0,213225,0,0,172175,0,0,0,201167,0,0,0,0,0,0,0,0,159679,0,193450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213437
1268,80645.3,0,0,0,0,78922.2,50916.2,0,0,0,0,0,104449,0,200520,0,0,0,164573.3,0,0,0,91190.3,0,0,464969,110997,0,0,82934.7,0,0,0,0,0,0,0,0,0,1115470,0,0,82944.6,0,0,0,0,0,0,0,0,183082,0,0,0,0,105663,0,90603.6,453407,115005,0,87106.9,0,0,65903.6,0,0,0,0,0,0,0,0,0,0,0,0,113032,108572,0,0,0,153954,0,148433,0,0,0,0,0,0,0,0,0,0,143399,0,0,0,0,0,84608.9,164356,111506,0,0,140746,0,0,0,0,0,0,0,0,0,0,0,0,0,95115.1,180770,217972,120859,97006.9,81606.2,0,0,0,0,0,245758.8,127289,0,78475.8,0,0,0,0,0,0,0,0
92097,266261,257714,495892,0,696363,453100,365174,292736,351488,840593,258186,384541,578998,261112,371324,609581,366991,826100,665828,528527,364622,808687,596131,0,282284,1016560,233660,277378,547685,277639,0,1164210,1002330,162904,335087,403486,177177,308734,0,1276270,436773,0,257796,447179,353300,304917,670834,680436,734470,667111,576788,762034,907408,555815,690349,603300,510257,165658,367395,424910,436953,695121,655594,366631,855556,270019,571116,0,555434,250161,370846,287696,0,1011530,358494,347939,779546,293751,258034,827893,0,365623,341399,663496,0,1016760,284220,138022,585166,279796,226371,823170,231245,572312,712594,443576,194602,703751,252633,289190,342310,289712,837291,646950,246370,699420,0,346560,714398,273351,358065,450156,312876,0,0,175878,389640,158279,868876,476709,0,286338,547834,703209,617328,251393,569120,592088,401515,302329,365403,237669,365316,371066,521286,903273,0,221134,244578,786076,855636,333653,336496,291877
95728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2192770,0,0,0,0
24330,127443,249732,117795,0,124066,300484,207840,98514.1,297382,0,116516,236267,164795,166005,398342,243082,407567,0,163077,250077,162585,198349,109077,184942,242244,0,163797,209989,422889,155665,0,0,217587,390142,130453,0,433891,366389,0,0,266229,141565,281058,136304,192019,292845,367753,176899,105122,158020,105805,154471,274174,92911.6,96751.6,350498,213172,259382,158433,150054,100996,213390,420407,160771,0,109673,0,0,89600.2,381132,233068,307568,0,0,261097,382019,614336,123060,177342,181027,92387.5,156979,213969,162443,0,246969,131569,182375,238986,202342,130915,0,236004,226590,519049,128013,0,255359,88455.9,151794,224842,263050,173827,229296,259015,270543,0,260207,0,407417,121603,113620,186637,0,0,335411,309841,117714,0,353925,0,199293,494115,0,128243,172662,309509,108960,0,239833,153043,189256,0,245016,264031,145408,192647,293370,145885,366297,277099,240550,479312,163819
432,139888,173697,0,0,181443,0,175971,0,0,0,165115,0,0,181591,0,0,0,0,0,0,0,0,0,0,0,0,158065,0,142839,0,0,0,0,0,267825,0,0,147316,0,0,0,0,133703,0,0,0,0,70411,165370,240655,189970,0,141278,0,180139,0,0,0,0,0,121232,0,283182,0,0,0,0,0,0,0,0,251892,0,0,156873,0,0,0,0,160840,183626,0,213070,0,0,166628,101534,0,0,364821,120468,0,0,0,0,0,0,195871,0,0,148436,135469,110123,0,0,194465,0,0,0,155184,201490,0,147039,0,0,173487,189014,166156,0,144788,0,124526,0,0,0,0,0,0,0,0,161344,0,0,0,0,0,1380060,190181,167688,199820,91085.8,203318,221610,147350
22847,386966,0,0,0,335840,101231,142235,0,382002,0,0,267666,225152,0,106980,0,0,0,171399,166135,254328,542979,432707.4,0,0,0,118901,132062,0,0,0,0,338709,0,0,0,0,0,0,297805,0,0,0,0,93032.5,113812,210899,0,0,0,205197,318026,0,0,252212,151805,101453,0,0,252218,149699,146679,0,288557,272487,0,96713.8,0,522978,0,118649,0,0,0,121495,163600,166157,0,221199,378090,0,108109,0,0,0,354734.9,0,364092,0,0,0,0,0,0,387215,0,572396,285709,184739,0,0,0,0,329314.7,129729,0,0,112918,0,313750,0,104287,143453,0,0,163064,205207,0,0,0,0,174116,155548,300228.7,289732,185776,0,119900,0,0,143382,0,84300.6,355085,133071,97307.9,307402,0,104315,206154,109687,134580,134174,212323
19913,104479,92322.3,88485.1,0,0,0,121156,0,144064,0,81489,107573,0,96478.3,90597.8,82014.3,0,0,141477,0,0,94701.7,0,0,0,0,0,0,0,95236,0,0,0,86889,136713,0,0,122125,0,0,0,0,128306,97107.3,106508,0,82282.8,0,129496,101701,0,0,103992,101765,0,0,120972,90085.4,88164.5,119886,81038.6,118711,0,81385.6,88324.4,0,0,0,0,112513,87106.8,0,0,0,0,97605.8,0,112073,112308,0,96873.7,133662,0,149591,0,163774,0,110721,143155,0,0,0,124076,103525,0,109246,0,127742,0,0,93007.4,0,0,0,91674.8,94577.6,0,82742.6,0,0,118270,104079,121078,0,0,0,93010.6,97970.1,0,0,0,142960,0,0,0,81740.9,0,107369,0,129551,82118.6,0,0,0,110045,111694,95239,125603,0,0,83372.1,0,84850.8,98476.1
23780,0,0,0,0,0,72325.2,0,0,0,0,0,0,0,0,45362.4,0,158490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14792,0,0,0,0,0,0,0,542679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049500,0,0,0,0,0,0,0,0,0,0,0,0
32956,0,0,0,1817510,0,0,0,0,0,0,0,0,0,0,0,0,0,690978,0,0,0,0,0,0,0,606270,0,0,0,0,0,0,0,0,0,0,0,0,0,1154010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775118,0,0,0,0,0,635832,0,0,0,0,0,0,0,0,0,0,638694,0,0,0,0,0,0,1557070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701158,0,0,0,0,523754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23468,0,250630,209983,0,0,0,0,249128,0,0,0,0,0,0,278218,0,0,506154,0,0,219464,0,0,0,0,0,553552,0,146423,303333,785704,839229,0,337125,0,0,0,0,0,526630,0,0,171692,0,0,0,0,233447,206738,176628,0,0,139350,0,0,0,801981,0,0,0,0,231522,798531,268882,0,0,602499,0,0,0,0,253419,0,517487,0,0,0,0,184371,0,254157,0,0,149783,754822,0,0,299235,0,179652,298659,0,272818,0,0,0,0,0,355071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681293,0,0,0,575902,0,0,0,0,0,0,745421,0,0,172595,517756,225088,0,0,0,0,311867,293069,945088,0,276470,0,588503,242060,216650
2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61801,0,0,0,1737320,0,0,0,0,0,1514640,0,0,0,0,0,0,0,2190170,0,0,0,0,0,0,0,1296120,0,0,0,0,0,0,0,0,0,0,0,0,0,2959370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907490,0,0,0,0,0,1670380,0,0,0,0,0,0,0,0,0,0,827602,0,0,0,0,0,0,1392370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260400,0,0,0,0,1641590,650785,0,0,0,1630520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854610,0,0,0,0,0,0,1118110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509624,0,0,0,0,1077100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
